rebalance_date,ticker,weight,estimation_start,estimation_end,solver_success,solver_message,asset_class,fund_id,fund_name,family,method
2021-09-01,ETH-USD,0.1139911523492467,2020-09-01,2021-08-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-10-01,ETH-USD,0.11544975426909393,2020-10-01,2021-09-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-11-01,ETH-USD,0.11555967845561071,2020-11-01,2021-10-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-12-01,ETH-USD,0.11456295382079362,2020-12-01,2021-11-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-01-01,ETH-USD,0.11360246133409707,2021-01-01,2021-12-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-02-01,ETH-USD,0.11561374500669704,2021-02-01,2022-01-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-03-01,ETH-USD,0.11342378275585153,2021-03-01,2022-02-28,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-04-01,ETH-USD,0.11392900578972187,2021-04-01,2022-03-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-05-01,ETH-USD,0.10964458812747065,2021-05-01,2022-04-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-06-01,ETH-USD,0.10731578811508347,2021-06-01,2022-05-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-07-01,ETH-USD,0.10259614212440706,2021-07-01,2022-06-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-08-01,ETH-USD,0.10055997470089709,2021-08-01,2022-07-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-09-01,ETH-USD,0.0973269761243667,2021-09-01,2022-08-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-10-01,ETH-USD,0.09656493148105381,2021-10-01,2022-09-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-11-01,ETH-USD,0.09565909159550381,2021-11-01,2022-10-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-12-01,ETH-USD,0.0927572413425753,2021-12-01,2022-11-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-01-01,ETH-USD,0.09061983490003338,2022-01-01,2022-12-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-02-01,ETH-USD,0.09105463543853395,2022-02-01,2023-01-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-03-01,ETH-USD,0.0909347863163789,2022-03-01,2023-02-28,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-04-01,ETH-USD,0.09169791053847515,2022-04-01,2023-03-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-05-01,ETH-USD,0.0900257614474525,2022-05-01,2023-04-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-06-01,ETH-USD,0.0841999977535453,2022-06-01,2023-05-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-07-01,ETH-USD,0.088941697080282,2022-07-01,2023-06-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-08-01,ETH-USD,0.09941532072302256,2022-08-01,2023-07-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-09-01,ETH-USD,0.10395212804566191,2022-09-01,2023-08-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-10-01,ETH-USD,0.10526510978652329,2022-10-01,2023-09-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-11-01,ETH-USD,0.10671437265928772,2022-11-01,2023-10-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-12-01,ETH-USD,0.11706008174507004,2022-12-01,2023-11-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-01-01,LTC-USD,0.09867269280573737,2020-01-02,2020-12-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-02-01,LTC-USD,0.100263421369138,2020-02-02,2021-01-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-03-01,LTC-USD,0.10013281964045537,2020-03-01,2021-02-28,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-04-01,LTC-USD,0.10047163970746553,2020-04-01,2021-03-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-05-01,LTC-USD,0.1001307707230579,2020-05-01,2021-04-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-06-01,LTC-USD,0.09802636543346076,2020-06-01,2021-05-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-07-01,LTC-USD,0.09838893871736937,2020-07-01,2021-06-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-08-01,LTC-USD,0.09899994486915939,2020-08-01,2021-07-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-09-01,LTC-USD,0.09963323745506819,2020-09-01,2021-08-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-10-01,LTC-USD,0.09971455131402959,2020-10-01,2021-09-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-11-01,LTC-USD,0.09988829000635009,2020-11-01,2021-10-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-12-01,LTC-USD,0.09790679932780375,2020-12-01,2021-11-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-01-01,LTC-USD,0.09797977867088799,2021-01-01,2021-12-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-02-01,LTC-USD,0.09636714270079763,2021-02-01,2022-01-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-03-01,LTC-USD,0.0965301827699649,2021-03-01,2022-02-28,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-04-01,LTC-USD,0.09524975816830887,2021-04-01,2022-03-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-05-01,LTC-USD,0.09434034240884526,2021-05-01,2022-04-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-06-01,LTC-USD,0.09356913122883623,2021-06-01,2022-05-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-07-01,LTC-USD,0.09165012269610441,2021-07-01,2022-06-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-08-01,LTC-USD,0.09237981040752181,2021-08-01,2022-07-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-09-01,LTC-USD,0.09166882295654485,2021-09-01,2022-08-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-10-01,LTC-USD,0.09168505932570828,2021-10-01,2022-09-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-11-01,LTC-USD,0.09169508188641248,2021-11-01,2022-10-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-12-01,LTC-USD,0.09286321836521327,2021-12-01,2022-11-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-01-01,LTC-USD,0.09284033752781203,2022-01-01,2022-12-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-02-01,LTC-USD,0.09324723449912953,2022-02-01,2023-01-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-03-01,LTC-USD,0.09391226965892328,2022-03-01,2023-02-28,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-04-01,LTC-USD,0.09397092349604023,2022-04-01,2023-03-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-05-01,LTC-USD,0.09275450299745716,2022-05-01,2023-04-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-06-01,LTC-USD,0.09157839504913154,2022-06-01,2023-05-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-07-01,LTC-USD,0.08826635103475919,2022-07-01,2023-06-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-08-01,LTC-USD,0.09124909192357451,2022-08-01,2023-07-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-09-01,LTC-USD,0.08860966397237614,2022-09-01,2023-08-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-10-01,LTC-USD,0.08753806091634445,2022-10-01,2023-09-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-11-01,LTC-USD,0.0874598392891893,2022-11-01,2023-10-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2023-12-01,LTC-USD,0.0894847472220289,2022-12-01,2023-11-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-01-01,TRX-USD,0.10320623407127508,2020-01-02,2020-12-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-02-01,TRX-USD,0.10774718508826903,2020-02-02,2021-01-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-03-01,TRX-USD,0.10598873642379168,2020-03-01,2021-02-28,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-04-01,TRX-USD,0.10507141834204448,2020-04-01,2021-03-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-05-01,TRX-USD,0.10043052685097756,2020-05-01,2021-04-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-06-01,TRX-USD,0.10087694978486497,2020-06-01,2021-05-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-07-01,TRX-USD,0.10081258083554132,2020-07-01,2021-06-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-08-01,TRX-USD,0.10092649337950334,2020-08-01,2021-07-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-09-01,TRX-USD,0.1030127699577004,2020-09-01,2021-08-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-10-01,TRX-USD,0.09954151826793556,2020-10-01,2021-09-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-11-01,TRX-USD,0.09963860364806926,2020-11-01,2021-10-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2021-12-01,TRX-USD,0.09915038133898282,2020-12-01,2021-11-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-01-01,TRX-USD,0.09977751828398702,2021-01-01,2021-12-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-02-01,TRX-USD,0.0955797441206994,2021-02-01,2022-01-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-03-01,TRX-USD,0.09923562048808944,2021-03-01,2022-02-28,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-04-01,TRX-USD,0.10303682454607775,2021-04-01,2022-03-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-05-01,TRX-USD,0.10719043654483865,2021-05-01,2022-04-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-06-01,TRX-USD,0.1092796403532125,2021-06-01,2022-05-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-07-01,TRX-USD,0.11474711563926655,2021-07-01,2022-06-30,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-08-01,TRX-USD,0.119058829286095,2021-08-01,2022-07-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
2022-09-01,TRX-USD,0.12116263228282584,2021-09-01,2022-08-31,True,Optimization terminated successfully,Crypto,crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity
