date,horizon_days,cross_section_size,spearman_ic,high_sentiment_return,low_sentiment_return,high_minus_low_return
2021-08-31,1,48,0.3537776812852801,0.0024279241100391147,-0.0069289119679219035,0.009356836077961018
2021-09-01,1,46,0.32001233425840275,-0.003666203237938126,-0.0072439668771204285,0.0035777636391823024
2021-09-02,1,46,-0.2869565217391304,0.0034513276918518355,0.015633633063372447,-0.012182305371520612
2021-09-03,1,46,0.04039469626888683,-0.002622718503933663,-0.0033835440733857767,0.0007608255694521136
2021-09-07,1,46,-0.06864014801110083,-0.011821778772647552,-0.008425485780498003,-0.0033962929921495487
2021-09-08,1,46,0.5872957138452051,0.007767691620564965,-0.01306531060474805,0.020833002225313015
2021-09-09,1,46,-0.3227258711069997,-0.01277530499281263,-0.0031578730227846347,-0.009617431970027995
2021-09-10,1,45,-0.2214756258234519,-0.006513588182636106,-0.0026949024941330915,-0.003818685688503014
2021-09-13,1,46,-0.3509713228492137,-0.0015844153609753109,0.009875691181142435,-0.011460106542117746
2021-09-14,1,47,0.3100138760407031,-0.009336398343731012,-0.01563889034300614,0.006302491999275128
2021-09-15,1,48,-0.18465045592705165,0.004630915854850637,0.01612990559936478,-0.011498989744514142
2021-09-16,1,48,0.3791793313069909,-0.002229793718219286,-0.00878183525848486,0.006552041540265574
2021-09-17,1,47,0.260522664199815,-0.009742918787773624,-0.015082757474348804,0.00533983868657518
2021-09-20,1,47,0.08244680851063829,-0.012080998580764002,-0.01749560092805898,0.0054146023472949785
2021-09-21,1,47,0.1352913968547641,-0.0012196291390529801,-0.0019360074130306086,0.0007163782739776285
2021-09-22,1,47,-0.18189176688251618,0.005436977195344195,0.011886473071702442,-0.006449495876358248
2021-09-23,1,47,-0.2209759481961147,0.008984410638102147,0.012811219663792296,-0.0038268090256901484
2021-09-24,1,47,-0.14095744680851063,-0.0013627204026083971,-0.0003385941877507539,-0.0010241262148576432
2021-09-27,1,47,-0.2417900092506938,0.0011293525454883935,0.01134718627462007,-0.010217833729131676
2021-09-28,1,47,-0.08117483811285846,-0.010651139807554767,-0.009704681915643665,-0.0009464578919111018
2021-09-29,1,47,0.20524976873265496,0.005342970085855703,-0.005265660892315209,0.010608630978170911
2021-09-30,1,47,0.13367252543940797,-0.006053786412344353,-0.016429008941255357,0.010375222528911003
