date,ticker,signal_z,coverage_window,signal_observations,coverage_21d,signal_lookback
2021-11-08,EA,2.3347691884776007,0.6666666666666666,14,0.6666666666666666,21
2021-11-08,GE,0.3444871371408841,0.8095238095238095,17,0.8095238095238095,21
2021-11-08,GILD,-0.7526996912289791,0.7619047619047619,16,0.7619047619047619,21
2021-11-08,GS,-0.012779781890448143,0.9523809523809523,20,0.9523809523809523,21
2021-11-08,INTC,-0.0010977063454161542,0.9523809523809523,20,0.9523809523809523,21
2021-11-08,KO,0.5844396393948824,0.7142857142857143,15,0.7142857142857143,21
2021-11-08,MMM,-1.8373182024823482,0.7619047619047619,16,0.7619047619047619,21
2021-11-08,MRK,-0.10342924789671669,1.0,21,1.0,21
2021-11-08,MS,0.4707577181116973,0.8571428571428571,18,0.8571428571428571,21
2021-11-08,NEE,0.17939215526929034,0.6190476190476191,13,0.6190476190476191,21
2021-11-08,NEM,0.016436919712958572,0.6190476190476191,13,0.6190476190476191,21
2021-11-08,NKE,0.599458186476331,0.8571428571428571,18,0.8571428571428571,21
2021-11-08,NUE,-0.9210789391638334,0.6190476190476191,13,0.6190476190476191,21
2021-11-08,NVDA,0.16510095377245415,1.0,21,1.0,21
2021-11-08,O,2.2201271114381984,0.7142857142857143,15,0.7142857142857143,21
2021-11-08,OXY,0.7077393451780672,0.6666666666666666,14,0.6666666666666666,21
2021-11-08,PLD,0.5818975842952315,0.3333333333333333,7,0.3333333333333333,21
2021-11-08,PSA,0.13704413534400392,0.3333333333333333,7,0.3333333333333333,21
2021-11-08,QCOM,-0.3756619257065908,0.7619047619047619,16,0.7619047619047619,21
2021-11-08,SBUX,-0.5840528631856402,0.9523809523809523,20,0.9523809523809523,21
2021-11-08,SHW,-2.5,0.42857142857142855,9,0.42857142857142855,21
2021-11-08,SLB,0.1740530396905742,0.5238095238095238,11,0.5238095238095238,21
2021-11-08,SO,0.6768809119637083,0.3333333333333333,7,0.3333333333333333,21
2021-11-08,T,0.246528243213182,0.9047619047619048,19,0.9047619047619048,21
2021-11-08,TMUS,-0.14686069660873644,0.6666666666666666,14,0.6666666666666666,21
2021-11-08,TTWO,-0.005816400769259588,0.5714285714285714,12,0.5714285714285714,21
2021-11-08,UPS,1.258482853672067,0.7619047619047619,16,0.7619047619047619,21
2021-11-08,USB,-0.8015108002032912,0.47619047619047616,10,0.47619047619047616,21
2021-11-08,V,-0.7345914040900702,1.0,21,1.0,21
2021-11-08,WFC,-0.07755141286967515,0.9047619047619048,19,0.9047619047619048,21
2021-11-08,WMT,-0.3620566269272565,0.9523809523809523,20,0.9523809523809523,21
2021-11-08,XOM,-0.6231131670274531,1.0,21,1.0,21
2021-11-09,ABBV,0.2836686075829704,0.8571428571428571,18,0.8571428571428571,21
2021-11-09,ABT,0.4860432401754863,0.9047619047619048,19,0.9047619047619048,21
2021-11-09,ADBE,0.9243955852577261,0.8571428571428571,18,0.8571428571428571,21
2021-11-09,AEP,-0.8238142668583589,0.38095238095238093,8,0.38095238095238093,21
2021-11-09,AMD,-0.08966497111298893,1.0,21,1.0,21
2021-11-09,AMGN,0.01432835492590488,0.6666666666666666,14,0.6666666666666666,21
2021-11-09,AMT,1.0508651635730966,0.38095238095238093,8,0.38095238095238093,21
2021-11-09,BA,0.0,0.0,0,0.0,21
2021-11-09,CAT,0.292615930535887,0.7619047619047619,16,0.7619047619047619,21
2021-11-09,CCI,-1.965395108341559,0.38095238095238093,8,0.38095238095238093,21
2021-11-09,CMCSA,1.400966769063778,0.8571428571428571,18,0.8571428571428571,21
2021-11-09,COP,1.224288495114036,0.7619047619047619,16,0.7619047619047619,21
2021-11-09,CVX,0.7397482557367346,1.0,21,1.0,21
2021-11-09,D,0.3344616392313559,0.5714285714285714,12,0.5714285714285714,21
2021-11-09,DD,-0.5868348452992038,0.38095238095238093,8,0.38095238095238093,21
2021-11-09,DIS,0.24651740122111793,1.0,21,1.0,21
2021-11-09,DOW,-2.5,0.42857142857142855,9,0.42857142857142855,21
2021-11-09,DUK,0.1512400010563782,0.47619047619047616,10,0.47619047619047616,21
2021-11-09,EA,2.4066137756870667,0.7142857142857143,15,0.7142857142857143,21
2021-11-09,GE,0.4239290322434718,0.8571428571428571,18,0.8571428571428571,21
2021-11-09,GILD,-0.6712734204222057,0.8095238095238095,17,0.8095238095238095,21
2021-11-09,GS,-0.33253856748982497,0.9523809523809523,20,0.9523809523809523,21
2021-11-09,INTC,0.1143791732520199,0.9523809523809523,20,0.9523809523809523,21
2021-11-09,KO,0.2804803351474876,0.7142857142857143,15,0.7142857142857143,21
2021-11-09,MMM,-1.644779561140436,0.7619047619047619,16,0.7619047619047619,21
2021-11-09,MRK,0.08304303348929906,1.0,21,1.0,21
2021-11-09,MS,0.4741273120621343,0.8571428571428571,18,0.8571428571428571,21
2021-11-09,NEE,0.2697890382827691,0.6190476190476191,13,0.6190476190476191,21
2021-11-09,NEM,0.27703329533755405,0.5714285714285714,12,0.5714285714285714,21
2021-11-09,NKE,0.8136776570832435,0.9047619047619048,19,0.9047619047619048,21
2021-11-09,NUE,-0.9089227472804416,0.6666666666666666,14,0.6666666666666666,21
2021-11-09,NVDA,0.24345537225244243,1.0,21,1.0,21
2021-11-09,O,1.742016286717228,0.7142857142857143,15,0.7142857142857143,21
2021-11-09,OXY,0.8137936519030735,0.6666666666666666,14,0.6666666666666666,21
2021-11-09,PLD,-0.19228741789727777,0.3333333333333333,7,0.3333333333333333,21
2021-11-09,PSA,0.22618604642997248,0.3333333333333333,7,0.3333333333333333,21
2021-11-09,QCOM,-0.19841320552592678,0.7619047619047619,16,0.7619047619047619,21
2021-11-09,SBUX,-0.5162804633959062,0.9523809523809523,20,0.9523809523809523,21
2021-11-09,SHW,-2.5,0.38095238095238093,8,0.38095238095238093,21
2021-11-09,SLB,0.06473008132671197,0.5238095238095238,11,0.5238095238095238,21
