fund_id,fund_name,method,rebalance_date,equity_capital_weight,crypto_capital_weight,equity_risk_contribution,crypto_risk_contribution,risk_contribution_sum,ex_ante_annualized_volatility,active_holdings,effective_holdings,top_5_weight,hhi,mean_filled_cells
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2021-03-01,0.7886027441566739,0.21139725584330982,0.5731643077942619,0.4268356922057381,1.0,0.31082929899775097,12,10.429370660395666,0.5980577296771357,0.09588306260869459,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2021-04-01,0.8761361246640978,0.12386387533557117,0.7276781331101275,0.2723218668898724,0.9999999999999999,0.16408798578909758,19,11.782033767079238,0.575947940183456,0.08487499015612647,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2021-05-03,0.9119011642205423,0.08809883577886551,0.7992532402048012,0.20074675979519885,1.0,0.13508155220237014,20,13.431719852057117,0.4936304925647565,0.07445062963004297,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2021-06-01,0.9660894062620459,0.033910593737891764,0.9221738097971363,0.07782619020286385,1.0000000000000002,0.1301438002669321,22,11.9392946471129,0.5330624222765733,0.08375704173125628,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2021-07-01,0.9783906716085944,0.02160932839131889,0.9506449015870198,0.04935509841298012,0.9999999999999999,0.10974530130705347,24,15.748283237421045,0.44637498247145324,0.06349898493213543,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2021-08-02,0.9759186272870708,0.02408137271291061,0.9504307784082853,0.049569221591714875,1.0,0.11066452496802205,24,13.7552233761093,0.5227547404320613,0.07269965544411629,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2021-09-01,0.9730954590716754,0.02690454092832428,0.9378219877410904,0.062178012258909635,1.0,0.11135536569224662,28,13.447856499449639,0.5175025674551725,0.07436129319501034,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2021-10-01,0.9819586191545105,0.01804138084546132,0.948296109356842,0.051703890643157814,0.9999999999999999,0.10586961610900233,26,13.964415470087635,0.48708500390931114,0.07161058779309754,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2021-11-01,0.9921705919456634,0.007829408054043956,0.9754478412487495,0.02455215875125061,1.0,0.09767206691032036,25,15.417513935191874,0.463290502986017,0.06486130022022613,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2021-12-01,0.9947954860534761,0.005204513946272144,0.9841336581887625,0.015866341811237562,1.0,0.10450223192830757,19,11.465991154683692,0.5636230994409054,0.08721444020925434,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2022-01-03,0.9975534818214101,0.0024465181785173354,0.9943135599049356,0.005686440095064185,0.9999999999999999,0.10704524570708737,19,11.118435994007774,0.56782374944627,0.08994070753646871,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2022-02-01,0.9951377282484856,0.004862271750916762,0.9859569192637838,0.01404308073621623,1.0,0.10771378121730255,21,11.755785849718006,0.5833855544562794,0.08506449613693734,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2022-03-01,0.9903935030372977,0.00960649696218408,0.9687116392635672,0.031288360736433006,1.0000000000000002,0.11518514041681634,18,11.206578248206961,0.5938905593507446,0.08923330367679347,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2022-04-01,0.990367531177811,0.009632468821875854,0.9670438971843485,0.03295610281565149,1.0,0.11097613572689483,18,11.757502952759538,0.5624025658455714,0.0850520730479847,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2022-05-02,0.9999999999994436,0.0,0.9999999999999999,0.0,0.9999999999999999,0.14753659028692237,13,8.99793243040494,0.5999999999995657,0.11113664252699842,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2022-06-01,0.9999999999970789,0.0,1.0,0.0,1.0,0.17447334921734503,11,9.342388650148104,0.5999999999984821,0.10703900655900749,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2022-07-01,0.9999999999998495,0.0,1.0,0.0,1.0,0.19885842575835155,9,8.561643835619256,0.5999999999998971,0.11679999999996157,0
combined_max_sharpe,Combined Maximum Sharpe,Maximum Sharpe,2022-08-01,0.9999999999999727,0.0,1.0,0.0,1.0,0.19892819940984172,11,8.889338830235697,0.5999999999999803,0.1124943057180649,0
