fund_id,fund_name,family,method,annual_management_fee,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,cagr,terminal_wealth
crypto_equal_weight,Crypto Equal Weight,Crypto,Equal Weight,0.0,0.6783602918034961,0.8189003476814153,0.8283795381503553,-0.8158023173098703,0.40531712914432516,2.7709206302326765
crypto_equal_weight,Crypto Equal Weight,Crypto,Equal Weight,0.005,0.673338468546392,0.818889101807287,0.822258431648846,-0.817180816312198,0.3982794758733863,2.7295642934615176
crypto_equal_weight,Crypto Equal Weight,Crypto,Equal Weight,0.01,0.6682914158109753,0.8188777994342495,0.8161064035106189,-0.818555865551331,0.391241878446267,2.6886215165940364
crypto_max_sharpe,Crypto Maximum Sharpe,Crypto,Maximum Sharpe,0.0,0.44541267375739085,0.7624813173528348,0.5841620819035467,-0.8316887300739899,0.16451204375827944,1.5780440063073513
crypto_max_sharpe,Crypto Maximum Sharpe,Crypto,Maximum Sharpe,0.005,0.4403940495459312,0.762470846275439,0.5775880503460468,-0.8326222555658401,0.15868031238331537,1.554491502257788
crypto_max_sharpe,Crypto Maximum Sharpe,Crypto,Maximum Sharpe,0.01,0.43535021192806117,0.7624603225916875,0.5709808091367395,-0.8335552671059107,0.1528486272831746,1.531174521275952
crypto_min_variance,Crypto Minimum Variance,Crypto,Minimum Variance,0.0,0.7561994323871079,0.7310544609976176,1.0343954831424962,-0.7190521114181598,0.6288137178457451,4.311338867405892
crypto_min_variance,Crypto Minimum Variance,Crypto,Minimum Variance,0.005,0.7511765401731036,0.7310444215020033,1.0275388445338751,-0.7204568508610643,0.6206568214759356,4.246991595892716
crypto_min_variance,Crypto Minimum Variance,Crypto,Minimum Variance,0.01,0.7461284131103819,0.731034331568286,1.0206475686438894,-0.721861590303982,0.6124999898311476,4.183287791704914
crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity,0.0,0.688799228462626,0.7990081897562037,0.862067795165898,-0.798972365940903,0.4433559038552475,3.0016946069312587
crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity,0.005,0.6837772618486803,0.7989972170590315,0.8557942972136303,-0.8004768169684267,0.4361277571350253,2.956893939711135
crypto_risk_parity,Crypto Risk Parity,Crypto,Risk Parity,0.01,0.6787300650362006,0.7989861892353819,0.8494891077976396,-0.8019775030314692,0.42889966777018773,2.91254127541067
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,0.0,0.1318938563827278,0.16117568935854398,0.8183235133514635,-0.20256568833195443,0.1265375315722823,1.4265397520645335
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,0.005,0.12687874093143076,0.16117248343850857,0.7872233412587344,-0.20459341589900437,0.12089256784341562,1.4053323260056494
equity_equal_weight,Equity Equal Weight,Equity,Equal Weight,0.01,0.12183846081826237,0.16116926143192556,0.7559658692716932,-0.20662616361958475,0.11524766609329307,1.3843357163955685
equity_max_sharpe,Equity Maximum Sharpe,Equity,Maximum Sharpe,0.0,0.06604331592014835,0.1575286351375858,0.4192464174051022,-0.2086207705391352,0.055210058185215516,1.1737804742141948
equity_max_sharpe,Equity Maximum Sharpe,Equity,Maximum Sharpe,0.005,0.061029510291491215,0.1575255017605266,0.3874262237505486,-0.21046036765327591,0.049922509090886136,1.1563306537095484
equity_max_sharpe,Equity Maximum Sharpe,Equity,Maximum Sharpe,0.01,0.05599054657334298,0.15752235266092326,0.35544508844320105,-0.21230492371923615,0.04463501805107817,1.1390542964616412
equity_min_variance,Equity Minimum Variance,Equity,Minimum Variance,0.0,0.06397960806262994,0.1256665977224096,0.5091218288885108,-0.15380271929792988,0.05781434489526971,1.1824390181389346
equity_min_variance,Equity Minimum Variance,Equity,Minimum Variance,0.005,0.05896584348285886,0.12566409810807555,0.46923380958136635,-0.15570257033244006,0.052513745988035376,1.1648604767698365
equity_min_variance,Equity Minimum Variance,Equity,Minimum Variance,0.01,0.053926921019569016,0.12566158595126867,0.42914404279826435,-0.1576076946986965,0.04721320527860007,1.1474566782316846
equity_risk_parity,Equity Risk Parity,Equity,Risk Parity,0.0,0.10490326105406747,0.14533220621110843,0.7218170272712011,-0.18499934952384012,0.09915305019305642,1.325617555108262
